subject;item;RT;Trcorrect;accuracy;lexicality;DISHAR;DISHARc
1;1;464.04;464.04;1;word;;
1;2;449.84;449.84;1;word;;
1;3;460.91;460.91;1;word;;
1;4;376.76;376.76;1;word;;
1;5;380.81;380.81;1;word;;
1;6;587.37;587.37;1;word;;
1;7;647.18;647.18;1;word;;
1;8;447.2;447.2;1;word;;
1;9;471.28;471.28;1;word;;
1;10;496.38;496.38;1;word;;
1;11;528.72;528.72;1;word;;
1;12;512.18;512.18;1;word;;
1;13;335.98;335.98;1;word;;
1;14;519.91;519.91;1;word;;
1;15;436.44;436.44;1;word;;
1;16;366.63;366.63;1;word;;
1;17;436.54;436.54;1;word;;
1;18;495.23;495.23;1;word;;
1;19;398.42;398.42;1;word;;
1;20;464.03;464.03;1;word;;
1;21;449.61;449.61;1;word;;
1;22;384.11;384.11;1;word;;
1;23;482.5;482.5;1;word;;
1;24;413.67;413.67;1;word;;
1;25;636.79;636.79;1;word;;
1;26;438.4;438.4;1;word;;
1;27;529.73;529.73;1;word;;
1;28;446.24;446.24;1;word;;
1;29;455.94;455.94;1;word;;
1;30;448.68;448.68;1;word;;
1;31;572.32;572.32;1;word;;
1;32;447.14;447.14;1;word;;
1;33;571.12;571.12;1;word;;
1;34;427.31;427.31;1;word;;
1;35;513.24;513.24;1;word;;
1;36;447.21;447.21;1;word;;
1;37;655.74;655.74;1;word;;
1;38;432.89;432.89;1;word;;
1;39;416.93;416.93;1;word;;
1;40;491.96;491.96;1;word;;
1;41;593.27;593.27;1;word;;
1;42;540.87;540.87;1;word;;
1;43;556.98;556.98;1;word;;
1;44;471.27;471.27;1;word;;
1;45;430.54;430.54;1;word;;
1;46;477.69;477.69;1;word;;
1;47;733.05;733.05;1;word;;
1;48;445.45;445.45;1;word;;
1;49;477.34;477.34;1;word;;
1;50;594.39;594.39;1;word;;
1;51;461.54;461.54;1;word;;
1;52;459.51;459.51;1;word;;
1;53;445.51;445.51;1;word;;
1;54;463.11;463.11;1;word;;
1;55;462.49;462.49;1;word;;
1;56;439.01;439.01;1;word;;
1;57;466.18;466.18;1;word;;
1;58;515.45;515.45;1;word;;
1;59;414.48;414.48;1;word;;
1;60;513.73;513.73;1;word;;
1;61;672.26;672.26;1;word;;
1;62;495.28;495.28;1;word;;
1;63;580.93;580.93;1;word;;
1;64;637.61;637.61;1;word;;
1;65;585.7;585.7;1;word;;
1;66;412.11;412.11;1;word;;
1;67;508.46;508.46;1;word;;
1;68;586.37;586.37;1;word;;
1;69;646.22;646.22;1;word;;
1;70;606.23;606.23;1;word;;
1;71;-721.52;;0;word;;
1;72;537.14;537.14;1;word;;
1;73;440.54;440.54;1;word;;
1;74;594.13;594.13;1;word;;
1;75;530.68;530.68;1;word;;
1;76;542.4;542.4;1;word;;
1;77;507.5;507.5;1;word;;
1;78;436.05;436.05;1;word;;
1;79;838.44;838.44;1;word;;
1;80;542.96;542.96;1;word;;
1;81;1019.62;1019.62;1;word;;
1;82;416.3;416.3;1;word;;
1;83;435.65;435.65;1;word;;
1;84;478.43;478.43;1;word;;
1;85;462.88;462.88;1;word;;
1;86;388.88;388.88;1;word;;
1;87;1028.15;1028.15;1;word;;
1;88;448.37;448.37;1;word;;
1;89;464.42;464.42;1;word;;
1;90;686.73;686.73;1;word;;
1;91;431.15;431.15;1;word;;
1;92;554.8;554.8;1;word;;
1;93;393.72;393.72;1;word;;
1;94;516.19;516.19;1;word;;
1;95;-465.9;;0;word;;
1;96;432.16;432.16;1;word;;
1;97;-523.29;;0;word;;
1;98;511.18;511.18;1;word;;
1;99;765.3;765.3;1;word;;
1;100;399.18;399.18;1;word;;
1;101;416.97;416.97;1;word;;
1;102;753.3;753.3;1;word;;
1;103;463.94;463.94;1;word;;
1;104;463.83;463.83;1;word;;
1;105;618.61;618.61;1;word;;
1;106;462.21;462.21;1;word;;
1;107;590.57;590.57;1;word;;
1;108;488.43;488.43;1;word;;
1;109;460.44;460.44;1;word;;
1;110;-443.39;;0;word;;
1;111;556.47;556.47;1;word;;
1;112;359.4;359.4;1;word;;
1;113;545.25;545.25;1;word;;
1;114;429.65;429.65;1;word;;
1;115;494.63;494.63;1;word;;
1;116;468.51;468.51;1;word;;
1;117;448.9;448.9;1;word;;
1;118;512.9;512.9;1;word;;
1;119;491.2;491.2;1;word;;
1;120;481.63;481.63;1;word;;
1;121;506.88;506.88;1;nw;DIS;-0.5
1;122;510.86;510.86;1;nw;DIS;-0.5
1;123;561.3;561.3;1;nw;DIS;-0.5
1;124;958.42;958.42;1;nw;DIS;-0.5
1;125;559.88;559.88;1;nw;DIS;-0.5
1;126;480.68;480.68;1;nw;DIS;-0.5
1;127;557.83;557.83;1;nw;DIS;-0.5
1;128;701.7;701.7;1;nw;DIS;-0.5
1;129;608.46;608.46;1;nw;DIS;-0.5
1;130;471.93;471.93;1;nw;DIS;-0.5
