subject;item;RT;Trcorrect;accuracy;lexicality;DISHAR;DISHARc
1;131;414.51;414.51;1;nw;DIS;-0.5
1;132;441.08;441.08;1;nw;DIS;-0.5
1;133;569.43;569.43;1;nw;DIS;-0.5
1;134;480.69;480.69;1;nw;DIS;-0.5
1;135;570.8;570.8;1;nw;DIS;-0.5
1;136;494.26;494.26;1;nw;DIS;-0.5
1;137;479.14;479.14;1;nw;DIS;-0.5
1;138;509.65;509.65;1;nw;DIS;-0.5
1;139;576.18;576.18;1;nw;DIS;-0.5
1;140;560.97;560.97;1;nw;DIS;-0.5
1;141;579.48;579.48;1;nw;DIS;-0.5
1;142;524.41;524.41;1;nw;DIS;-0.5
1;143;481.64;481.64;1;nw;DIS;-0.5
1;144;561.64;561.64;1;nw;DIS;-0.5
1;145;496.02;496.02;1;nw;DIS;-0.5
1;146;566.88;566.88;1;nw;DIS;-0.5
1;147;463.08;463.08;1;nw;DIS;-0.5
1;148;524.72;524.72;1;nw;DIS;-0.5
1;149;509.21;509.21;1;nw;DIS;-0.5
1;150;522.65;522.65;1;nw;DIS;-0.5
1;151;514.81;514.81;1;nw;DIS;-0.5
1;152;481.51;481.51;1;nw;DIS;-0.5
1;153;516.24;516.24;1;nw;DIS;-0.5
1;154;561.96;561.96;1;nw;DIS;-0.5
1;155;545.39;545.39;1;nw;DIS;-0.5
1;156;601.77;601.77;1;nw;DIS;-0.5
1;157;592.53;592.53;1;nw;DIS;-0.5
1;158;595.7;595.7;1;nw;DIS;-0.5
1;159;588.43;588.43;1;nw;DIS;-0.5
1;160;595.11;595.11;1;nw;DIS;-0.5
1;161;591.49;591.49;1;nw;DIS;-0.5
1;162;769.82;769.82;1;nw;DIS;-0.5
1;163;606.9;606.9;1;nw;DIS;-0.5
1;164;558.69;558.69;1;nw;DIS;-0.5
1;165;570.91;570.91;1;nw;DIS;-0.5
1;166;514.51;514.51;1;nw;DIS;-0.5
1;167;1053.38;1053.38;1;nw;DIS;-0.5
1;168;541.98;541.98;1;nw;DIS;-0.5
1;169;535.97;535.97;1;nw;DIS;-0.5
1;170;549.75;549.75;1;nw;DIS;-0.5
1;171;449.65;449.65;1;nw;DIS;-0.5
1;172;428.16;428.16;1;nw;DIS;-0.5
1;173;523.93;523.93;1;nw;DIS;-0.5
1;174;620.1;620.1;1;nw;DIS;-0.5
1;175;594.34;594.34;1;nw;DIS;-0.5
1;176;499.42;499.42;1;nw;DIS;-0.5
1;177;-404.21;;0;nw;DIS;-0.5
1;178;539.04;539.04;1;nw;DIS;-0.5
1;179;541.67;541.67;1;nw;DIS;-0.5
1;180;557.04;557.04;1;nw;DIS;-0.5
1;181;478.22;478.22;1;nw;HAR;0.5
1;182;558.11;558.11;1;nw;HAR;0.5
1;183;525.06;525.06;1;nw;HAR;0.5
1;184;608.44;608.44;1;nw;HAR;0.5
1;185;461.3;461.3;1;nw;HAR;0.5
1;186;446.11;446.11;1;nw;HAR;0.5
1;187;622.33;622.33;1;nw;HAR;0.5
1;188;512.42;512.42;1;nw;HAR;0.5
1;189;725.6;725.6;1;nw;HAR;0.5
1;190;606.14;606.14;1;nw;HAR;0.5
1;191;678.29;678.29;1;nw;HAR;0.5
1;192;829.34;829.34;1;nw;HAR;0.5
1;193;463.74;463.74;1;nw;HAR;0.5
1;194;863.13;863.13;1;nw;HAR;0.5
1;195;503.95;503.95;1;nw;HAR;0.5
1;196;715.99;715.99;1;nw;HAR;0.5
1;197;426.63;426.63;1;nw;HAR;0.5
1;198;602.91;602.91;1;nw;HAR;0.5
1;199;545.36;545.36;1;nw;HAR;0.5
1;200;656.82;656.82;1;nw;HAR;0.5
1;201;431.77;431.77;1;nw;HAR;0.5
1;202;782.53;782.53;1;nw;HAR;0.5
1;203;655.06;655.06;1;nw;HAR;0.5
1;204;443.42;443.42;1;nw;HAR;0.5
1;205;577.55;577.55;1;nw;HAR;0.5
1;206;479.45;479.45;1;nw;HAR;0.5
1;207;783.38;783.38;1;nw;HAR;0.5
1;208;703.48;703.48;1;nw;HAR;0.5
1;209;473.65;473.65;1;nw;HAR;0.5
1;210;540.19;540.19;1;nw;HAR;0.5
1;211;493.71;493.71;1;nw;HAR;0.5
1;212;455.26;455.26;1;nw;HAR;0.5
1;213;481.57;481.57;1;nw;HAR;0.5
1;214;526.55;526.55;1;nw;HAR;0.5
1;215;424.88;424.88;1;nw;HAR;0.5
1;216;529.86;529.86;1;nw;HAR;0.5
1;217;544.41;544.41;1;nw;HAR;0.5
1;218;591.02;591.02;1;nw;HAR;0.5
1;219;558.62;558.62;1;nw;HAR;0.5
1;220;708.52;708.52;1;nw;HAR;0.5
1;221;544.72;544.72;1;nw;HAR;0.5
1;222;761.55;761.55;1;nw;HAR;0.5
1;223;560.71;560.71;1;nw;HAR;0.5
1;224;671.25;671.25;1;nw;HAR;0.5
1;225;530.16;530.16;1;nw;HAR;0.5
1;226;490.37;490.37;1;nw;HAR;0.5
1;227;617.64;617.64;1;nw;HAR;0.5
1;228;542.44;542.44;1;nw;HAR;0.5
1;229;664.93;664.93;1;nw;HAR;0.5
1;230;576.19;576.19;1;nw;HAR;0.5
1;231;496.07;496.07;1;nw;HAR;0.5
1;232;588.83;588.83;1;nw;HAR;0.5
1;233;513.24;513.24;1;nw;HAR;0.5
1;234;588.92;588.92;1;nw;HAR;0.5
1;235;620.15;620.15;1;nw;HAR;0.5
1;236;637.12;637.12;1;nw;HAR;0.5
1;237;493.07;493.07;1;nw;HAR;0.5
1;238;830.19;830.19;1;nw;HAR;0.5
1;239;547.48;547.48;1;nw;HAR;0.5
1;240;665.09;665.09;1;nw;HAR;0.5
2;1;463.18;463.18;1;word;;
2;2;557.22;557.22;1;word;;
2;3;524.58;524.58;1;word;;
2;4;529.8;529.8;1;word;;
2;5;541.19;541.19;1;word;;
2;6;432.56;432.56;1;word;;
2;7;556.09;556.09;1;word;;
2;8;445.8;445.8;1;word;;
2;9;528.98;528.98;1;word;;
2;10;443.7;443.7;1;word;;
2;11;623.13;623.13;1;word;;
2;12;555.91;555.91;1;word;;
2;13;479.92;479.92;1;word;;
2;14;750.14;750.14;1;word;;
2;15;602.93;602.93;1;word;;
2;16;478.72;478.72;1;word;;
2;17;610.58;610.58;1;word;;
2;18;573.38;573.38;1;word;;
2;19;603.95;603.95;1;word;;
2;20;571.76;571.76;1;word;;
2;21;475.26;475.26;1;word;;
2;22;494.21;494.21;1;word;;
2;23;497.76;497.76;1;word;;
2;24;558.11;558.11;1;word;;
2;25;512.1;512.1;1;word;;
2;26;622.23;622.23;1;word;;
2;27;483.51;483.51;1;word;;
2;28;606.18;606.18;1;word;;
2;29;572.44;572.44;1;word;;
2;30;528.84;528.84;1;word;;
2;31;481.28;481.28;1;word;;
2;32;736.64;736.64;1;word;;
2;33;449.01;449.01;1;word;;
2;34;495.61;495.61;1;word;;
2;35;383.92;383.92;1;word;;
2;36;446.4;446.4;1;word;;
2;37;450.07;450.07;1;word;;
2;38;524.38;524.38;1;word;;
2;39;481.41;481.41;1;word;;
2;40;635.58;635.58;1;word;;
2;41;530.58;530.58;1;word;;
2;42;574.72;574.72;1;word;;
2;43;621.77;621.77;1;word;;
2;44;543.63;543.63;1;word;;
2;45;555.93;555.93;1;word;;
2;46;511.94;511.94;1;word;;
2;47;571.14;571.14;1;word;;
2;48;448.47;448.47;1;word;;
2;49;592.89;592.89;1;word;;
2;50;525.52;525.52;1;word;;
2;51;476.9;476.9;1;word;;
2;52;530.09;530.09;1;word;;
2;53;541.01;541.01;1;word;;
2;54;542.7;542.7;1;word;;
2;55;465.76;465.76;1;word;;
2;56;555.54;555.54;1;word;;
2;57;668.64;668.64;1;word;;
2;58;593.02;593.02;1;word;;
2;59;476.77;476.77;1;word;;
2;60;510.5;510.5;1;word;;
2;61;544.47;544.47;1;word;;
2;62;544.54;544.54;1;word;;
2;63;574.73;574.73;1;word;;
2;64;524.68;524.68;1;word;;
2;65;468.47;468.47;1;word;;
2;66;555.35;555.35;1;word;;
2;67;753.87;753.87;1;word;;
2;68;460.88;460.88;1;word;;
2;69;577.42;577.42;1;word;;
2;70;717.71;717.71;1;word;;
2;71;686.57;686.57;1;word;;
2;72;509.97;509.97;1;word;;
2;73;466.63;466.63;1;word;;
2;74;590.1;590.1;1;word;;
2;75;689.03;689.03;1;word;;
2;76;523.9;523.9;1;word;;
2;77;750.22;750.22;1;word;;
2;78;496.7;496.7;1;word;;
2;79;605.17;605.17;1;word;;
2;80;1190.29;1190.29;1;word;;
2;81;669.42;669.42;1;word;;
2;82;544.57;544.57;1;word;;
2;83;590.89;590.89;1;word;;
2;84;735.99;735.99;1;word;;
2;85;522.84;522.84;1;word;;
2;86;592.77;592.77;1;word;;
2;87;558.11;558.11;1;word;;
2;88;604.45;604.45;1;word;;
2;89;636.83;636.83;1;word;;
2;90;461.14;461.14;1;word;;
2;91;513;513;1;word;;
2;92;590.98;590.98;1;word;;
2;93;731.21;731.21;1;word;;
2;94;622.13;622.13;1;word;;
2;95;974.94;974.94;1;word;;
2;96;570.71;570.71;1;word;;
2;97;688.48;688.48;1;word;;
2;98;527.55;527.55;1;word;;
2;99;559.08;559.08;1;word;;
2;100;520.59;520.59;1;word;;
2;101;623.78;623.78;1;word;;
2;102;525.15;525.15;1;word;;
2;103;591.9;591.9;1;word;;
2;104;481.24;481.24;1;word;;
2;105;684.35;684.35;1;word;;
2;106;578.48;578.48;1;word;;
2;107;498.56;498.56;1;word;;
2;108;558.12;558.12;1;word;;
2;109;525.73;525.73;1;word;;
2;110;641.95;641.95;1;word;;
2;111;606.19;606.19;1;word;;
2;112;639.19;639.19;1;word;;
2;113;412.33;412.33;1;word;;
2;114;702.07;702.07;1;word;;
2;115;461.25;461.25;1;word;;
2;116;848.27;848.27;1;word;;
2;117;639.78;639.78;1;word;;
2;118;672.82;672.82;1;word;;
2;119;497.14;497.14;1;word;;
2;120;749.04;749.04;1;word;;
2;121;529.05;529.05;1;nw;DIS;-0.5
2;122;558.56;558.56;1;nw;DIS;-0.5
2;123;495.88;495.88;1;nw;DIS;-0.5
2;124;622.93;622.93;1;nw;DIS;-0.5
2;125;686.94;686.94;1;nw;DIS;-0.5
2;126;573.86;573.86;1;nw;DIS;-0.5
2;127;491.66;491.66;1;nw;DIS;-0.5
2;128;622.46;622.46;1;nw;DIS;-0.5
2;129;593.43;593.43;1;nw;DIS;-0.5
2;130;654.74;654.74;1;nw;DIS;-0.5
2;131;682.99;682.99;1;nw;DIS;-0.5
2;132;572.28;572.28;1;nw;DIS;-0.5
2;133;619.98;619.98;1;nw;DIS;-0.5
2;134;526.64;526.64;1;nw;DIS;-0.5
2;135;604.37;604.37;1;nw;DIS;-0.5
2;136;510.71;510.71;1;nw;DIS;-0.5
2;137;682.92;682.92;1;nw;DIS;-0.5
2;138;576.16;576.16;1;nw;DIS;-0.5
2;139;491.19;491.19;1;nw;DIS;-0.5
2;140;457.32;457.32;1;nw;DIS;-0.5
2;141;496.83;496.83;1;nw;DIS;-0.5
2;142;625.25;625.25;1;nw;DIS;-0.5
2;143;643.27;643.27;1;nw;DIS;-0.5
2;144;479.58;479.58;1;nw;DIS;-0.5
2;145;-442.5;;0;nw;DIS;-0.5
2;146;636.4;636.4;1;nw;DIS;-0.5
2;147;623.71;623.71;1;nw;DIS;-0.5
2;148;511.36;511.36;1;nw;DIS;-0.5
2;149;686.18;686.18;1;nw;DIS;-0.5
2;150;671.67;671.67;1;nw;DIS;-0.5
2;151;719.32;719.32;1;nw;DIS;-0.5
2;152;589.66;589.66;1;nw;DIS;-0.5
2;153;480.53;480.53;1;nw;DIS;-0.5
2;154;556.66;556.66;1;nw;DIS;-0.5
2;155;655.02;655.02;1;nw;DIS;-0.5
2;156;667.35;667.35;1;nw;DIS;-0.5
2;157;733.8;733.8;1;nw;DIS;-0.5
2;158;416.52;416.52;1;nw;DIS;-0.5
2;159;592.22;592.22;1;nw;DIS;-0.5
2;160;-1183.55;;0;nw;DIS;-0.5
2;161;393.29;393.29;1;nw;DIS;-0.5
2;162;414.98;414.98;1;nw;DIS;-0.5
2;163;509.36;509.36;1;nw;DIS;-0.5
2;164;649.23;649.23;1;nw;DIS;-0.5
2;165;573.16;573.16;1;nw;DIS;-0.5
2;166;559.68;559.68;1;nw;DIS;-0.5
2;167;546.04;546.04;1;nw;DIS;-0.5
2;168;578.04;578.04;1;nw;DIS;-0.5
2;169;605.05;605.05;1;nw;DIS;-0.5
2;170;525.56;525.56;1;nw;DIS;-0.5
2;171;589.82;589.82;1;nw;DIS;-0.5
2;172;594.96;594.96;1;nw;DIS;-0.5
2;173;640.02;640.02;1;nw;DIS;-0.5
2;174;-2000;;0;nw;DIS;-0.5
2;175;462.69;462.69;1;nw;DIS;-0.5
2;176;715.18;715.18;1;nw;DIS;-0.5
2;177;509.51;509.51;1;nw;DIS;-0.5
2;178;559.87;559.87;1;nw;DIS;-0.5
2;179;555.58;555.58;1;nw;DIS;-0.5
2;180;512.88;512.88;1;nw;DIS;-0.5
2;181;637.75;637.75;1;nw;HAR;0.5
2;182;477.14;477.14;1;nw;HAR;0.5
2;183;735.12;735.12;1;nw;HAR;0.5
2;184;592.31;592.31;1;nw;HAR;0.5
2;185;544.41;544.41;1;nw;HAR;0.5
2;186;583.75;583.75;1;nw;HAR;0.5
2;187;668.83;668.83;1;nw;HAR;0.5
2;188;544.24;544.24;1;nw;HAR;0.5
2;189;593.77;593.77;1;nw;HAR;0.5
2;190;633.77;633.77;1;nw;HAR;0.5
2;191;798.85;798.85;1;nw;HAR;0.5
2;192;636.2;636.2;1;nw;HAR;0.5
2;193;463.83;463.83;1;nw;HAR;0.5
2;194;527.28;527.28;1;nw;HAR;0.5
2;195;747.92;747.92;1;nw;HAR;0.5
2;196;844.04;844.04;1;nw;HAR;0.5
2;197;639.88;639.88;1;nw;HAR;0.5
2;198;561.46;561.46;1;nw;HAR;0.5
2;199;572.84;572.84;1;nw;HAR;0.5
2;200;638.39;638.39;1;nw;HAR;0.5
2;201;717.26;717.26;1;nw;HAR;0.5
2;202;550.57;550.57;1;nw;HAR;0.5
2;203;924.51;924.51;1;nw;HAR;0.5
2;204;-671.17;;0;nw;HAR;0.5
2;205;846.27;846.27;1;nw;HAR;0.5
2;206;545.14;545.14;1;nw;HAR;0.5
2;207;844.16;844.16;1;nw;HAR;0.5
2;208;605.4;605.4;1;nw;HAR;0.5
2;209;609.29;609.29;1;nw;HAR;0.5
2;210;524.5;524.5;1;nw;HAR;0.5
2;211;624.47;624.47;1;nw;HAR;0.5
2;212;734.47;734.47;1;nw;HAR;0.5
2;213;640.6;640.6;1;nw;HAR;0.5
2;214;895.05;895.05;1;nw;HAR;0.5
2;215;456.69;456.69;1;nw;HAR;0.5
2;216;574.17;574.17;1;nw;HAR;0.5
2;217;459.92;459.92;1;nw;HAR;0.5
2;218;507.67;507.67;1;nw;HAR;0.5
2;219;513.64;513.64;1;nw;HAR;0.5
2;220;622.89;622.89;1;nw;HAR;0.5
2;221;507.13;507.13;1;nw;HAR;0.5
2;222;545.06;545.06;1;nw;HAR;0.5
2;223;734.3;734.3;1;nw;HAR;0.5
2;224;670.1;670.1;1;nw;HAR;0.5
2;225;533.09;533.09;1;nw;HAR;0.5
2;226;673.22;673.22;1;nw;HAR;0.5
2;227;640.53;640.53;1;nw;HAR;0.5
2;228;574.6;574.6;1;nw;HAR;0.5
2;229;848.83;848.83;1;nw;HAR;0.5
2;230;606.95;606.95;1;nw;HAR;0.5
2;231;479.24;479.24;1;nw;HAR;0.5
2;232;554.35;554.35;1;nw;HAR;0.5
2;233;477.84;477.84;1;nw;HAR;0.5
2;234;832.02;832.02;1;nw;HAR;0.5
2;235;737.69;737.69;1;nw;HAR;0.5
2;236;558.68;558.68;1;nw;HAR;0.5
2;237;604.35;604.35;1;nw;HAR;0.5
2;238;911.15;911.15;1;nw;HAR;0.5
2;239;471.19;471.19;1;nw;HAR;0.5
2;240;686.94;686.94;1;nw;HAR;0.5
3;1;-2000;;0;word;;
3;2;699.47;699.47;1;word;;
3;3;-2000;;0;word;;
3;4;526.54;526.54;1;word;;
3;5;589.68;589.68;1;word;;
3;6;543.41;543.41;1;word;;
3;7;633.6;633.6;1;word;;
3;8;732.11;732.11;1;word;;
3;9;768.19;768.19;1;word;;
3;10;637.83;637.83;1;word;;
3;11;780.58;780.58;1;word;;
3;12;858.95;858.95;1;word;;
3;13;532.75;532.75;1;word;;
3;14;524.63;524.63;1;word;;
3;15;474.61;474.61;1;word;;
3;16;445.07;445.07;1;word;;
3;17;467.85;467.85;1;word;;
3;18;495.14;495.14;1;word;;
3;19;554.22;554.22;1;word;;
3;20;845.43;845.43;1;word;;
3;21;557.49;557.49;1;word;;
3;22;684.9;684.9;1;word;;
3;23;573.91;573.91;1;word;;
3;24;781.17;781.17;1;word;;
3;25;509.51;509.51;1;word;;
3;26;603.71;603.71;1;word;;
3;27;495.62;495.62;1;word;;
3;28;-2000;;0;word;;
3;29;-506.18;;0;word;;
3;30;492.47;492.47;1;word;;
3;31;431.87;431.87;1;word;;
3;32;654.62;654.62;1;word;;
3;33;544.26;544.26;1;word;;
3;34;493.81;493.81;1;word;;
3;35;528.34;528.34;1;word;;
3;36;471;471;1;word;;
3;37;540.45;540.45;1;word;;
3;38;796.52;796.52;1;word;;
3;39;543.37;543.37;1;word;;
3;40;480.06;480.06;1;word;;
3;41;768.63;768.63;1;word;;
3;42;560.41;560.41;1;word;;
3;43;622.48;622.48;1;word;;
3;44;574.51;574.51;1;word;;
3;45;571.91;571.91;1;word;;
3;46;819.72;819.72;1;word;;
3;47;-2000;;0;word;;
3;48;509.67;509.67;1;word;;
3;49;506.82;506.82;1;word;;
3;50;699.71;699.71;1;word;;
3;51;542.93;542.93;1;word;;
3;52;623.46;623.46;1;word;;
3;53;491.09;491.09;1;word;;
3;54;560.91;560.91;1;word;;
3;55;525.01;525.01;1;word;;
3;56;703.8;703.8;1;word;;
3;57;592.05;592.05;1;word;;
3;58;619.73;619.73;1;word;;
3;59;540.33;540.33;1;word;;
3;60;593.89;593.89;1;word;;
3;61;799.05;799.05;1;word;;
3;62;508.04;508.04;1;word;;
3;63;-587.22;;0;word;;
3;64;497.21;497.21;1;word;;
3;65;512.87;512.87;1;word;;
3;66;587.69;587.69;1;word;;
3;67;587.99;587.99;1;word;;
3;68;-651.41;;0;word;;
3;69;1007.9;1007.9;1;word;;
3;70;511.92;511.92;1;word;;
3;71;545.43;545.43;1;word;;
3;72;606.93;606.93;1;word;;
3;73;667.65;667.65;1;word;;
3;74;557.93;557.93;1;word;;
3;75;848.46;848.46;1;word;;
3;76;591.31;591.31;1;word;;
3;77;637.59;637.59;1;word;;
3;78;537.11;537.11;1;word;;
3;79;445.94;445.94;1;word;;
3;80;-475.58;;0;word;;
3;81;990.06;990.06;1;word;;
3;82;505.37;505.37;1;word;;
3;83;864.44;864.44;1;word;;
3;84;874.56;874.56;1;word;;
3;85;592.41;592.41;1;word;;
3;86;605.51;605.51;1;word;;
3;87;525.8;525.8;1;word;;
3;88;875.5;875.5;1;word;;
3;89;705.94;705.94;1;word;;
3;90;432.36;432.36;1;word;;
3;91;655.48;655.48;1;word;;
3;92;750.87;750.87;1;word;;
3;93;765.43;765.43;1;word;;
3;94;732.53;732.53;1;word;;
3;95;735.74;735.74;1;word;;
3;96;434.59;434.59;1;word;;
3;97;637.72;637.72;1;word;;
3;98;877.02;877.02;1;word;;
3;99;-557.24;;0;word;;
3;100;929.32;929.32;1;word;;
3;101;590.56;590.56;1;word;;
3;102;736.62;736.62;1;word;;
3;103;686.53;686.53;1;word;;
3;104;594.09;594.09;1;word;;
3;105;655;655;1;word;;
3;106;526.63;526.63;1;word;;
3;107;536.64;536.64;1;word;;
3;108;686.91;686.91;1;word;;
3;109;446.23;446.23;1;word;;
3;110;654.9;654.9;1;word;;
3;111;397.21;397.21;1;word;;
3;112;1008.31;1008.31;1;word;;
3;113;477.22;477.22;1;word;;
3;114;683.18;683.18;1;word;;
3;115;384.6;384.6;1;word;;
3;116;575.96;575.96;1;word;;
3;117;555.54;555.54;1;word;;
3;118;475.36;475.36;1;word;;
3;119;542.09;542.09;1;word;;
3;120;559.96;559.96;1;word;;
3;121;829.55;829.55;1;nw;DIS;-0.5
3;122;1057;1057;1;nw;DIS;-0.5
3;123;513.87;513.87;1;nw;DIS;-0.5
3;124;1102.02;1102.02;1;nw;DIS;-0.5
3;125;-654.91;;0;nw;DIS;-0.5
3;126;577.52;577.52;1;nw;DIS;-0.5
3;127;603.7;603.7;1;nw;DIS;-0.5
3;128;764.17;764.17;1;nw;DIS;-0.5
3;129;1215.49;1215.49;1;nw;DIS;-0.5
3;130;509.41;509.41;1;nw;DIS;-0.5
3;131;730.81;730.81;1;nw;DIS;-0.5
3;132;-990.61;;0;nw;DIS;-0.5
3;133;687.76;687.76;1;nw;DIS;-0.5
3;134;875.4;875.4;1;nw;DIS;-0.5
3;135;541.11;541.11;1;nw;DIS;-0.5
3;136;597.98;597.98;1;nw;DIS;-0.5
3;137;519.33;519.33;1;nw;DIS;-0.5
3;138;1059.04;1059.04;1;nw;DIS;-0.5
3;139;635.76;635.76;1;nw;DIS;-0.5
3;140;621.04;621.04;1;nw;DIS;-0.5
3;141;524.41;524.41;1;nw;DIS;-0.5
3;142;590.35;590.35;1;nw;DIS;-0.5
3;143;859.35;859.35;1;nw;DIS;-0.5
3;144;586.63;586.63;1;nw;DIS;-0.5
3;145;590.11;590.11;1;nw;DIS;-0.5
3;146;510.85;510.85;1;nw;DIS;-0.5
3;147;672.69;672.69;1;nw;DIS;-0.5
3;148;528.1;528.1;1;nw;DIS;-0.5
3;149;668.07;668.07;1;nw;DIS;-0.5
3;150;860.71;860.71;1;nw;DIS;-0.5
3;151;527.09;527.09;1;nw;DIS;-0.5
3;152;895.4;895.4;1;nw;DIS;-0.5
3;153;689.83;689.83;1;nw;DIS;-0.5
3;154;877.89;877.89;1;nw;DIS;-0.5
3;155;832.7;832.7;1;nw;DIS;-0.5
3;156;668.46;668.46;1;nw;DIS;-0.5
3;157;1089.86;1089.86;1;nw;DIS;-0.5
3;158;715.55;715.55;1;nw;DIS;-0.5
3;159;606.76;606.76;1;nw;DIS;-0.5
3;160;689.13;689.13;1;nw;DIS;-0.5
3;161;654.73;654.73;1;nw;DIS;-0.5
3;162;927.75;927.75;1;nw;DIS;-0.5
3;163;767.96;767.96;1;nw;DIS;-0.5
3;164;587.59;587.59;1;nw;DIS;-0.5
3;165;669.38;669.38;1;nw;DIS;-0.5
3;166;702.27;702.27;1;nw;DIS;-0.5
3;167;-1055.52;;0;nw;DIS;-0.5
3;168;1518.25;1518.25;1;nw;DIS;-0.5
3;169;606.75;606.75;1;nw;DIS;-0.5
3;170;911.04;911.04;1;nw;DIS;-0.5
3;171;673.41;673.41;1;nw;DIS;-0.5
3;172;640.49;640.49;1;nw;DIS;-0.5
